"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+007, -4.81391019826E+001, +0.00000000000E+000
+5.72500000000E+007, -3.68243580466E+001, +0.00000000000E+000
+6.45000000000E+007, -3.79927977360E+001, +0.00000000000E+000
+7.17500000000E+007, -6.03357357918E+001, +0.00000000000E+000
+7.90000000000E+007, -3.71512264854E+001, +0.00000000000E+000
+8.62500000000E+007, -3.79768408907E+001, +0.00000000000E+000
+9.35000000000E+007, -5.43021421227E+001, +0.00000000000E+000
+1.00750000000E+008, -3.48967316731E+001, +0.00000000000E+000
+1.08000000000E+008, -3.33935830864E+001, +0.00000000000E+000
+1.15250000000E+008, -4.16492736620E+001, +0.00000000000E+000
+1.22500000000E+008, -3.94736803932E+001, +0.00000000000E+000
+1.29750000000E+008, -3.45506193228E+001, +0.00000000000E+000
+1.37000000000E+008, -3.84476643878E+001, +0.00000000000E+000
+1.44250000000E+008, -4.35927037170E+001, +0.00000000000E+000
+1.51500000000E+008, -3.36647768155E+001, +0.00000000000E+000
+1.58750000000E+008, -3.45235742291E+001, +0.00000000000E+000
+1.66000000000E+008, -4.79292638007E+001, +0.00000000000E+000
+1.73250000000E+008, -3.39966869684E+001, +0.00000000000E+000
+1.80500000000E+008, -3.03558798164E+001, +0.00000000000E+000
+1.87750000000E+008, -3.62299926870E+001, +0.00000000000E+000
+1.95000000000E+008, -3.39462865870E+001, +0.00000000000E+000
+2.02250000000E+008, -3.12174804313E+001, +0.00000000000E+000
+2.09500000000E+008, -3.63813510331E+001, +0.00000000000E+000
+2.16750000000E+008, -4.20241309795E+001, +0.00000000000E+000
+2.24000000000E+008, -3.15503113738E+001, +0.00000000000E+000
+2.31250000000E+008, -3.22284689441E+001, +0.00000000000E+000
+2.38500000000E+008, -5.30113328557E+001, +0.00000000000E+000
+2.45750000000E+008, -3.24966124031E+001, +0.00000000000E+000
+2.53000000000E+008, -3.10608956966E+001, +0.00000000000E+000
+2.60250000000E+008, -3.83180079556E+001, +0.00000000000E+000
+2.67500000000E+008, -3.51640250896E+001, +0.00000000000E+000
+2.74750000000E+008, -2.91652331761E+001, +0.00000000000E+000
+2.82000000000E+008, -3.10745663102E+001, +0.00000000000E+000
+2.89250000000E+008, -6.14653243660E+001, +0.00000000000E+000
+2.96500000000E+008, -3.13372195455E+001, +0.00000000000E+000
+3.03750000000E+008, -2.90859967911E+001, +0.00000000000E+000
+3.11000000000E+008, -3.55453557583E+001, +0.00000000000E+000
+3.18250000000E+008, -3.12569783271E+001, +0.00000000000E+000
+3.25500000000E+008, -2.75926999794E+001, +0.00000000000E+000
+3.32750000000E+008, -3.15881025473E+001, +0.00000000000E+000
+3.40000000000E+008, -4.17873302968E+001, +0.00000000000E+000
+3.47250000000E+008, -2.97481986144E+001, +0.00000000000E+000
+3.54500000000E+008, -2.94079821903E+001, +0.00000000000E+000
+3.61750000000E+008, -4.05787955637E+001, +0.00000000000E+000
+3.69000000000E+008, -3.12876827312E+001, +0.00000000000E+000
+3.76250000000E+008, -2.83417981753E+001, +0.00000000000E+000
+3.83500000000E+008, -3.49116279695E+001, +0.00000000000E+000
+3.90750000000E+008, -3.56803577234E+001, +0.00000000000E+000
+3.98000000000E+008, -2.88649799896E+001, +0.00000000000E+000
+4.05250000000E+008, -2.96077003738E+001, +0.00000000000E+000
+4.12500000000E+008, -3.72719258052E+001, +0.00000000000E+000
+4.19750000000E+008, -2.90445344232E+001, +0.00000000000E+000
+4.27000000000E+008, -2.64102663745E+001, +0.00000000000E+000
+4.34250000000E+008, -3.25650195284E+001, +0.00000000000E+000
+4.41500000000E+008, -3.02396802090E+001, +0.00000000000E+000
+4.48750000000E+008, -2.53326299604E+001, +0.00000000000E+000
+4.56000000000E+008, -2.80668585216E+001, +0.00000000000E+000
+4.63250000000E+008, -3.52835470698E+001, +0.00000000000E+000
+4.70500000000E+008, -2.76626189683E+001, +0.00000000000E+000
+4.77750000000E+008, -2.73192273627E+001, +0.00000000000E+000
+4.85000000000E+008, -3.83100466664E+001, +0.00000000000E+000
+4.92250000000E+008, -2.94501761299E+001, +0.00000000000E+000
+4.99500000000E+008, -2.65776590604E+001, +0.00000000000E+000
+5.06750000000E+008, -3.19019434155E+001, +0.00000000000E+000
+5.14000000000E+008, -3.39427072543E+001, +0.00000000000E+000
+5.21250000000E+008, -2.62226651728E+001, +0.00000000000E+000
+5.28500000000E+008, -2.64520713713E+001, +0.00000000000E+000
+5.35750000000E+008, -3.55048209855E+001, +0.00000000000E+000
+5.43000000000E+008, -2.80472734544E+001, +0.00000000000E+000
+5.50250000000E+008, -2.40093739940E+001, +0.00000000000E+000
+5.57500000000E+008, -2.84988307288E+001, +0.00000000000E+000
+5.64750000000E+008, -3.26133822016E+001, +0.00000000000E+000
+5.72000000000E+008, -2.63151171711E+001, +0.00000000000E+000
+5.79250000000E+008, -2.71537021646E+001, +0.00000000000E+000
+5.86500000000E+008, -3.22931432103E+001, +0.00000000000E+000
+5.93750000000E+008, -2.68814915657E+001, +0.00000000000E+000
+6.01000000000E+008, -2.52636666723E+001, +0.00000000000E+000
+6.08250000000E+008, -3.17571814658E+001, +0.00000000000E+000
+6.15500000000E+008, -2.96818541879E+001, +0.00000000000E+000
+6.22750000000E+008, -2.48498944351E+001, +0.00000000000E+000
+6.30000000000E+008, -2.71385093318E+001, +0.00000000000E+000
+6.37250000000E+008, -3.56136804628E+001, +0.00000000000E+000
+6.44500000000E+008, -2.70763586911E+001, +0.00000000000E+000
+6.51750000000E+008, -2.59416633125E+001, +0.00000000000E+000
+6.59000000000E+008, -3.17365060467E+001, +0.00000000000E+000
+6.66250000000E+008, -2.69258307128E+001, +0.00000000000E+000
+6.73500000000E+008, -2.30396989765E+001, +0.00000000000E+000
+6.80750000000E+008, -2.63476888975E+001, +0.00000000000E+000
+6.88000000000E+008, -3.13431435211E+001, +0.00000000000E+000
+6.95250000000E+008, -2.43000667415E+001, +0.00000000000E+000
+7.02500000000E+008, -2.45043604438E+001, +0.00000000000E+000
+7.09750000000E+008, -2.97344340506E+001, +0.00000000000E+000
+7.17000000000E+008, -2.67626135712E+001, +0.00000000000E+000
+7.24250000000E+008, -2.31863907679E+001, +0.00000000000E+000
+7.31500000000E+008, -2.80420689930E+001, +0.00000000000E+000
+7.38750000000E+008, -2.96608060668E+001, +0.00000000000E+000
+7.46000000000E+008, -2.49373670277E+001, +0.00000000000E+000
+7.53250000000E+008, -2.71761288598E+001, +0.00000000000E+000
+7.60500000000E+008, -3.64202570806E+001, +0.00000000000E+000
+7.67750000000E+008, -2.60808174767E+001, +0.00000000000E+000
+7.75000000000E+008, -2.37081886852E+001, +0.00000000000E+000
+7.82250000000E+008, -2.81485527607E+001, +0.00000000000E+000
+7.89500000000E+008, -3.11777630537E+001, +0.00000000000E+000
+7.96750000000E+008, -2.34118763086E+001, +0.00000000000E+000
+8.04000000000E+008, -2.40758134964E+001, +0.00000000000E+000
+8.11250000000E+008, -3.49720881412E+001, +0.00000000000E+000
+8.18500000000E+008, -2.41790546139E+001, +0.00000000000E+000
+8.25750000000E+008, -2.20527996769E+001, +0.00000000000E+000
+8.33000000000E+008, -2.94749217319E+001, +0.00000000000E+000
+8.40250000000E+008, -2.73091387125E+001, +0.00000000000E+000
+8.47500000000E+008, -2.21349619412E+001, +0.00000000000E+000
+8.54750000000E+008, -2.49134069763E+001, +0.00000000000E+000
+8.62000000000E+008, -3.56101271216E+001, +0.00000000000E+000
+8.69250000000E+008, -2.54517125666E+001, +0.00000000000E+000
+8.76500000000E+008, -2.52524858727E+001, +0.00000000000E+000
+8.83750000000E+008, -3.09913331543E+001, +0.00000000000E+000
+8.91000000000E+008, -2.77677206387E+001, +0.00000000000E+000
+8.98250000000E+008, -2.41620993501E+001, +0.00000000000E+000
+9.05500000000E+008, -2.66027642945E+001, +0.00000000000E+000
+9.12750000000E+008, -3.28675816451E+001, +0.00000000000E+000
+9.20000000000E+008, -2.47503801341E+001, +0.00000000000E+000
+9.27250000000E+008, -2.45267095146E+001, +0.00000000000E+000
+9.34500000000E+008, -3.25034658408E+001, +0.00000000000E+000
+9.41750000000E+008, -2.42631377585E+001, +0.00000000000E+000
+9.49000000000E+008, -2.15213050457E+001, +0.00000000000E+000
+9.56250000000E+008, -2.74078655950E+001, +0.00000000000E+000
+9.63500000000E+008, -2.80526490368E+001, +0.00000000000E+000
+9.70750000000E+008, -2.18220572936E+001, +0.00000000000E+000
+9.78000000000E+008, -2.37451846238E+001, +0.00000000000E+000
+9.85250000000E+008, -3.40711351826E+001, +0.00000000000E+000
+9.92500000000E+008, -2.50601156931E+001, +0.00000000000E+000
+9.99750000000E+008, -2.47156176248E+001, +0.00000000000E+000
+1.00700000000E+009, -3.19033661927E+001, +0.00000000000E+000
+1.01425000000E+009, -2.74769002414E+001, +0.00000000000E+000
+1.02150000000E+009, -2.32224908203E+001, +0.00000000000E+000
+1.02875000000E+009, -2.53509010595E+001, +0.00000000000E+000
+1.03600000000E+009, -3.62141305707E+001, +0.00000000000E+000
+1.04325000000E+009, -2.40419229640E+001, +0.00000000000E+000
+1.05050000000E+009, -2.25205636049E+001, +0.00000000000E+000
+1.05775000000E+009, -2.95737581177E+001, +0.00000000000E+000
+1.06500000000E+009, -2.56673351491E+001, +0.00000000000E+000
+1.07225000000E+009, -2.18279045900E+001, +0.00000000000E+000
+1.07950000000E+009, -2.65958451652E+001, +0.00000000000E+000
+1.08675000000E+009, -2.77335273496E+001, +0.00000000000E+000
+1.09400000000E+009, -2.18911504968E+001, +0.00000000000E+000
+1.10125000000E+009, -2.28702823597E+001, +0.00000000000E+000
