"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+007, -4.99603654916E-001, +0.00000000000E+000
+5.72500000000E+007, -5.42086125194E-001, +0.00000000000E+000
+6.45000000000E+007, -5.75088127648E-001, +0.00000000000E+000
+7.17500000000E+007, -6.13565997739E-001, +0.00000000000E+000
+7.90000000000E+007, -6.47872856957E-001, +0.00000000000E+000
+8.62500000000E+007, -6.80579133573E-001, +0.00000000000E+000
+9.35000000000E+007, -7.12037362361E-001, +0.00000000000E+000
+1.00750000000E+008, -7.46600989348E-001, +0.00000000000E+000
+1.08000000000E+008, -7.74285229186E-001, +0.00000000000E+000
+1.15250000000E+008, -8.04631349355E-001, +0.00000000000E+000
+1.22500000000E+008, -8.26758034350E-001, +0.00000000000E+000
+1.29750000000E+008, -8.56573966540E-001, +0.00000000000E+000
+1.37000000000E+008, -8.78640393595E-001, +0.00000000000E+000
+1.44250000000E+008, -9.07465478627E-001, +0.00000000000E+000
+1.51500000000E+008, -9.35170090408E-001, +0.00000000000E+000
+1.58750000000E+008, -9.56417429791E-001, +0.00000000000E+000
+1.66000000000E+008, -9.80777183423E-001, +0.00000000000E+000
+1.73250000000E+008, -1.00847628509E+000, +0.00000000000E+000
+1.80500000000E+008, -1.03021371842E+000, +0.00000000000E+000
+1.87750000000E+008, -1.04950646305E+000, +0.00000000000E+000
+1.95000000000E+008, -1.07338296725E+000, +0.00000000000E+000
+2.02250000000E+008, -1.09824358212E+000, +0.00000000000E+000
+2.09500000000E+008, -1.11359962950E+000, +0.00000000000E+000
+2.16750000000E+008, -1.13471715070E+000, +0.00000000000E+000
+2.24000000000E+008, -1.16151496239E+000, +0.00000000000E+000
+2.31250000000E+008, -1.18136258700E+000, +0.00000000000E+000
+2.38500000000E+008, -1.20081900505E+000, +0.00000000000E+000
+2.45750000000E+008, -1.22465052496E+000, +0.00000000000E+000
+2.53000000000E+008, -1.24389358231E+000, +0.00000000000E+000
+2.60250000000E+008, -1.26192719158E+000, +0.00000000000E+000
+2.67500000000E+008, -1.28267718790E+000, +0.00000000000E+000
+2.74750000000E+008, -1.30520954579E+000, +0.00000000000E+000
+2.82000000000E+008, -1.32040304013E+000, +0.00000000000E+000
+2.89250000000E+008, -1.33786016172E+000, +0.00000000000E+000
+2.96500000000E+008, -1.36199933993E+000, +0.00000000000E+000
+3.03750000000E+008, -1.37724042911E+000, +0.00000000000E+000
+3.11000000000E+008, -1.39192228090E+000, +0.00000000000E+000
+3.18250000000E+008, -1.41521399442E+000, +0.00000000000E+000
+3.25500000000E+008, -1.43842696582E+000, +0.00000000000E+000
+3.32750000000E+008, -1.44815211955E+000, +0.00000000000E+000
+3.40000000000E+008, -1.46562818062E+000, +0.00000000000E+000
+3.47250000000E+008, -1.48968441300E+000, +0.00000000000E+000
+3.54500000000E+008, -1.50454422464E+000, +0.00000000000E+000
+3.61750000000E+008, -1.51769629586E+000, +0.00000000000E+000
+3.69000000000E+008, -1.54077692151E+000, +0.00000000000E+000
+3.76250000000E+008, -1.56161371417E+000, +0.00000000000E+000
+3.83500000000E+008, -1.57018264069E+000, +0.00000000000E+000
+3.90750000000E+008, -1.58806370310E+000, +0.00000000000E+000
+3.98000000000E+008, -1.61110924285E+000, +0.00000000000E+000
+4.05250000000E+008, -1.62533244629E+000, +0.00000000000E+000
+4.12500000000E+008, -1.64084320274E+000, +0.00000000000E+000
+4.19750000000E+008, -1.66438502526E+000, +0.00000000000E+000
+4.27000000000E+008, -1.68140366768E+000, +0.00000000000E+000
+4.34250000000E+008, -1.68797480952E+000, +0.00000000000E+000
+4.41500000000E+008, -1.70985329515E+000, +0.00000000000E+000
+4.48750000000E+008, -1.73133372447E+000, +0.00000000000E+000
+4.56000000000E+008, -1.74432528166E+000, +0.00000000000E+000
+4.63250000000E+008, -1.75677070167E+000, +0.00000000000E+000
+4.70500000000E+008, -1.78159264891E+000, +0.00000000000E+000
+4.77750000000E+008, -1.79468465880E+000, +0.00000000000E+000
+4.85000000000E+008, -1.80200409387E+000, +0.00000000000E+000
+4.92250000000E+008, -1.82485472647E+000, +0.00000000000E+000
+4.99500000000E+008, -1.84488185341E+000, +0.00000000000E+000
+5.06750000000E+008, -1.85293197427E+000, +0.00000000000E+000
+5.14000000000E+008, -1.87076820970E+000, +0.00000000000E+000
+5.21250000000E+008, -1.89705518827E+000, +0.00000000000E+000
+5.28500000000E+008, -1.90558934969E+000, +0.00000000000E+000
+5.35750000000E+008, -1.91055505560E+000, +0.00000000000E+000
+5.43000000000E+008, -1.93912748965E+000, +0.00000000000E+000
+5.50250000000E+008, -1.95983845636E+000, +0.00000000000E+000
+5.57500000000E+008, -1.95910999491E+000, +0.00000000000E+000
+5.64750000000E+008, -1.97433917945E+000, +0.00000000000E+000
+5.72000000000E+008, -1.99656604890E+000, +0.00000000000E+000
+5.79250000000E+008, -2.00838047625E+000, +0.00000000000E+000
+5.86500000000E+008, -2.01953580771E+000, +0.00000000000E+000
+5.93750000000E+008, -2.04171673963E+000, +0.00000000000E+000
+6.01000000000E+008, -2.05688960166E+000, +0.00000000000E+000
+6.08250000000E+008, -2.06541588620E+000, +0.00000000000E+000
+6.15500000000E+008, -2.08736242958E+000, +0.00000000000E+000
+6.22750000000E+008, -2.11156123356E+000, +0.00000000000E+000
+6.30000000000E+008, -2.11225137140E+000, +0.00000000000E+000
+6.37250000000E+008, -2.12466011181E+000, +0.00000000000E+000
+6.44500000000E+008, -2.15025437196E+000, +0.00000000000E+000
+6.51750000000E+008, -2.16150153819E+000, +0.00000000000E+000
+6.59000000000E+008, -2.16982812764E+000, +0.00000000000E+000
+6.66250000000E+008, -2.19671353604E+000, +0.00000000000E+000
+6.73500000000E+008, -2.21362692608E+000, +0.00000000000E+000
+6.80750000000E+008, -2.20895839934E+000, +0.00000000000E+000
+6.88000000000E+008, -2.22418911698E+000, +0.00000000000E+000
+6.95250000000E+008, -2.24652883054E+000, +0.00000000000E+000
+7.02500000000E+008, -2.26018207030E+000, +0.00000000000E+000
+7.09750000000E+008, -2.26944171523E+000, +0.00000000000E+000
+7.17000000000E+008, -2.28930719543E+000, +0.00000000000E+000
+7.24250000000E+008, -2.31263902714E+000, +0.00000000000E+000
+7.31500000000E+008, -2.31493972320E+000, +0.00000000000E+000
+7.38750000000E+008, -2.33197579169E+000, +0.00000000000E+000
+7.46000000000E+008, -2.35299280091E+000, +0.00000000000E+000
+7.53250000000E+008, -2.35615155701E+000, +0.00000000000E+000
+7.60500000000E+008, -2.36195301835E+000, +0.00000000000E+000
+7.67750000000E+008, -2.38895586796E+000, +0.00000000000E+000
+7.75000000000E+008, -2.40595552536E+000, +0.00000000000E+000
+7.82250000000E+008, -2.40392126246E+000, +0.00000000000E+000
+7.89500000000E+008, -2.42366128006E+000, +0.00000000000E+000
+7.96750000000E+008, -2.44700988054E+000, +0.00000000000E+000
+8.04000000000E+008, -2.45061505357E+000, +0.00000000000E+000
+8.11250000000E+008, -2.46194081300E+000, +0.00000000000E+000
+8.18500000000E+008, -2.49198943473E+000, +0.00000000000E+000
+8.25750000000E+008, -2.50431635112E+000, +0.00000000000E+000
+8.33000000000E+008, -2.50435333374E+000, +0.00000000000E+000
+8.40250000000E+008, -2.52795626995E+000, +0.00000000000E+000
+8.47500000000E+008, -2.55306959977E+000, +0.00000000000E+000
+8.54750000000E+008, -2.54962491680E+000, +0.00000000000E+000
+8.62000000000E+008, -2.55484269510E+000, +0.00000000000E+000
+8.69250000000E+008, -2.57789762124E+000, +0.00000000000E+000
+8.76500000000E+008, -2.58550424120E+000, +0.00000000000E+000
+8.83750000000E+008, -2.59413840723E+000, +0.00000000000E+000
+8.91000000000E+008, -2.61073362598E+000, +0.00000000000E+000
+8.98250000000E+008, -2.62764127688E+000, +0.00000000000E+000
+9.05500000000E+008, -2.63411295170E+000, +0.00000000000E+000
+9.12750000000E+008, -2.64701267064E+000, +0.00000000000E+000
+9.20000000000E+008, -2.66663417373E+000, +0.00000000000E+000
+9.27250000000E+008, -2.67580423044E+000, +0.00000000000E+000
+9.34500000000E+008, -2.68579684524E+000, +0.00000000000E+000
+9.41750000000E+008, -2.71088317040E+000, +0.00000000000E+000
+9.49000000000E+008, -2.72487949132E+000, +0.00000000000E+000
+9.56250000000E+008, -2.72722732558E+000, +0.00000000000E+000
+9.63500000000E+008, -2.75122766288E+000, +0.00000000000E+000
+9.70750000000E+008, -2.77488833629E+000, +0.00000000000E+000
+9.78000000000E+008, -2.77537972614E+000, +0.00000000000E+000
+9.85250000000E+008, -2.78333990780E+000, +0.00000000000E+000
+9.92500000000E+008, -2.80379933376E+000, +0.00000000000E+000
+9.99750000000E+008, -2.81043353707E+000, +0.00000000000E+000
+1.00700000000E+009, -2.81686565574E+000, +0.00000000000E+000
+1.01425000000E+009, -2.83564286739E+000, +0.00000000000E+000
